17.22519,106.13442,11/10/1966,1000 LB SAP Bomb,Road,Cut,Total Bombs = 777
17.41822,105.71281,1/29/1968,1000 LB SAP Bomb,Motor Vehicle,Unobserved,Total Bombs = 385
17.49905,105.7092,12/22/1968,1000 LB SAP Bomb,Segment/Trans Route,ONTGT/NO BDA,Total Bombs = 1771
17.56821,105.41284,10/8/1965,1000 LB General Purpose Bomb - High Drag,Road,Cratered,Total Bombs = 4
17.60154,105.72946,10/10/1965,1000 LB General Purpose Bomb - High Drag,Road,Unobserved,Total Bombs = 567
17.5682,105.24619,10/10/1965,1000 LB General Purpose Bomb - High Drag,FOSD,Unobserved,Total Bombs = 44
17.5682,105.22952,10/11/1965,1000 LB General Purpose Bomb - High Drag,FOSD,Unobserved,Total Bombs = 61
17.60154,105.72946,10/13/1965,1000 LB General Purpose Bomb - High Drag,Area/Depot,Heavy/MOD,Total Bombs = 485
17.60154,105.74613,10/14/1965,1000 LB General Purpose Bomb - High Drag,Road,Cratered,Total Bombs = 250
17.60153,105.29618,10/14/1965,1000 LB General Purpose Bomb - High Drag,FOSD,Unobserved,Total Bombs = 4
17.61821,105.72946,11/1/1965,1000 LB General Purpose Bomb - High Drag,Road,Unobserved,Total Bombs = 142
17.58487,105.72946,11/6/1965,1000 LB General Purpose Bomb - High Drag,Road,Unobserved,Total Bombs = 350
17.61821,105.72946,11/20/1965,1000 LB General Purpose Bomb - High Drag,Road,Cut,Total Bombs = 179
17.50154,105.36285,11/24/1965,1000 LB General Purpose Bomb - High Drag,Area/Depot,Unobserved,Total Bombs = 46
17.58487,105.57948,11/24/1965,1000 LB General Purpose Bomb - High Drag,Road,Cratered,Total Bombs = 53
17.48487,105.31285,1/6/1966,1000 LB General Purpose Bomb - High Drag,Road,Cratered,Total Bombs = 48
17.55154,105.41284,1/6/1966,1000 LB General Purpose Bomb - High Drag,Road,Unobserved,Total Bombs = 52
17.63486,105.16287,1/16/1966,1000 LB General Purpose Bomb - High Drag,Road,Cratered,Total Bombs = 25
17.70152,105.1462,1/19/1966,1000 LB General Purpose Bomb - High Drag,Road,Unobserved,Total Bombs = 137
17.58486,105.41284,1/23/1966,1000 LB General Purpose Bomb - High Drag,Road,Cratered,Total Bombs = 8
17.51821,105.41284,1/23/1966,1000 LB General Purpose Bomb - High Drag,Road,Cratered,Total Bombs = 59
17.48488,105.72946,1/25/1966,1000 LB General Purpose Bomb - High Drag,Road,Cut,Total Bombs = 102
17.51822,105.84612,1/25/1966,1000 LB General Purpose Bomb - High Drag,Road,Unobserved,Total Bombs = 2
17.63487,105.74613,1/26/1966,1000 LB General Purpose Bomb - High Drag,Road,Unobserved,Total Bombs = 177
17.60154,105.72946,1/27/1966,1000 LB General Purpose Bomb - High Drag,Road,Cratered,Total Bombs = 635
17.51822,105.72946,1/27/1966,1000 LB General Purpose Bomb - High Drag,Road,Heavy/MOD,Total Bombs = 6233
17.50154,105.41284,1/31/1966,1000 LB General Purpose Bomb - High Drag,Road,Cratered,Total Bombs = 73
17.58487,105.74613,2/1/1966,1000 LB General Purpose Bomb - High Drag,Road,Unobserved,Total Bombs = 208
17.55154,105.4295,2/1/1966,1000 LB General Purpose Bomb - High Drag,Road,Cratered,Total Bombs = 49
17.63487,105.7628,2/4/1966,1000 LB Delay GPB,Road,Cratered,Total Bombs = 80
17.58487,105.7628,2/7/1966,1000 LB General Purpose Bomb - High Drag,Road,Cratered,Total Bombs = 32
17.55154,105.66281,2/11/1966,1000 LB General Purpose Bomb - High Drag,Troops,Unobserved,Total Bombs = 22
17.80151,105.07954,2/18/1966,1000 LB General Purpose Bomb - High Drag,Bridge,Cratered,Total Bombs = 7
17.1349,105.62948,3/11/1966,1000 LB General Purpose Bomb - High Drag,Road,Heavy/MOD,Total Bombs = 76
17.33489,105.67947,3/11/1966,1000 LB General Purpose Bomb - High Drag,Road,Destroyed,Total Bombs = 113
17.30156,105.7628,3/12/1966,1000 LB General Purpose Bomb - High Drag,Bridge,Destroyed,Total Bombs = 177
17.58486,105.17953,3/12/1966,1000 LB General Purpose Bomb - High Drag,Area/Depot,Cut,Total Bombs = 35
17.53486,105.16287,3/13/1966,1000 LB General Purpose Bomb - High Drag,Area/Depot,Cratered,Total Bombs = 99
17.20157,105.61282,3/14/1966,1000 LB General Purpose Bomb - High Drag,Road,Unobserved,Total Bombs = 15
17.1349,105.62948,3/14/1966,1000 LB General Purpose Bomb - High Drag,Bridge,Unobserved,Total Bombs = 83
17.63486,105.31285,3/26/1966,1000 LB General Purpose Bomb - High Drag,Bridge,Cratered,Total Bombs = 10
